rank 17, epoch 1, step 100 / 1362, train loss 101.92, time 1m 2s
rank 88, epoch 1, step 100 / 1362, train loss 86.81, time 1m 2s
rank 2, epoch 1, step 100 / 1362, train loss 56.91, time 1m 3s
rank 3, epoch 1, step 100 / 1362, train loss 62.75, time 1m 3s
rank 30, epoch 1, step 100 / 1362, train loss 102.03, time 1m 3s
rank 15, epoch 1, step 100 / 1362, train loss 79.68, time 1m 3s
rank 32, epoch 1, step 100 / 1362, train loss 86.40, time 1m 7s
rank 36, epoch 1, step 100 / 1362, train loss 102.48, time 1m 8s
rank 73, epoch 1, step 200 / 1362, train loss 76.54, time 1m 15s
rank 87, epoch 1, step 200 / 1362, train loss 101.23, time 1m 14s
rank 65, epoch 1, step 200 / 1362, train loss 82.04, time 1m 14s
rank 7, epoch 1, step 200 / 1362, train loss 45.84, time 1m 15s
rank 84, epoch 1, step 200 / 1362, train loss 64.88, time 1m 14s
rank 56, epoch 1, step 200 / 1362, train loss 63.24, time 1m 15s
rank 45, epoch 1, step 200 / 1362, train loss 58.43, time 1m 15s
rank 63, epoch 1, step 200 / 1362, train loss 73.72, time 1m 15s
rank 53, epoch 1, step 200 / 1362, train loss 67.49, time 1m 16s
rank 59, epoch 1, step 200 / 1362, train loss 74.58, time 1m 15s
rank 58, epoch 1, step 200 / 1362, train loss 72.20, time 1m 15s
rank 82, epoch 1, step 200 / 1362, train loss 85.57, time 1m 15s
rank 89, epoch 1, step 200 / 1362, train loss 55.46, time 1m 17s
rank 41, epoch 1, step 200 / 1362, train loss 68.06, time 1m 16s
rank 49, epoch 1, step 200 / 1362, train loss 58.17, time 1m 17s
rank 80, epoch 1, step 200 / 1362, train loss 40.39, time 1m 17s
rank 85, epoch 1, step 200 / 1362, train loss 77.95, time 1m 17s
rank 22, epoch 1, step 200 / 1362, train loss 48.28, time 1m 17s
rank 16, epoch 1, step 200 / 1362, train loss 88.62, time 1m 16s
rank 5, epoch 1, step 200 / 1362, train loss 62.47, time 1m 16s
rank 11, epoch 1, step 200 / 1362, train loss 44.76, time 1m 17s
rank 35, epoch 1, step 200 / 1362, train loss 76.33, time 1m 17s
rank 26, epoch 1, step 200 / 1362, train loss 81.07, time 1m 17s
rank 38, epoch 1, step 200 / 1362, train loss 91.49, time 1m 17s
rank 90, epoch 1, step 200 / 1362, train loss 80.82, time 1m 18s
rank 27, epoch 1, step 200 / 1362, train loss 81.16, time 1m 17s
rank 33, epoch 1, step 200 / 1362, train loss 93.17, time 1m 17s
rank 28, epoch 1, step 200 / 1362, train loss 81.66, time 1m 17s
rank 18, epoch 1, step 200 / 1362, train loss 44.98, time 1m 17s
rank 77, epoch 1, step 200 / 1362, train loss 56.17, time 1m 17s
rank 71, epoch 1, step 200 / 1362, train loss 61.32, time 1m 19s
rank 52, epoch 1, step 200 / 1362, train loss 94.99, time 1m 17s
rank 39, epoch 1, step 200 / 1362, train loss 80.29, time 1m 18s
rank 34, epoch 1, step 200 / 1362, train loss 80.18, time 1m 18s
rank 69, epoch 1, step 200 / 1362, train loss 77.60, time 1m 18s
rank 46, epoch 1, step 200 / 1362, train loss 67.05, time 1m 19s
rank 44, epoch 1, step 200 / 1362, train loss 81.96, time 1m 19s
rank 74, epoch 1, step 200 / 1362, train loss 76.66, time 1m 19s
rank 61, epoch 1, step 200 / 1362, train loss 84.47, time 1m 19s
rank 81, epoch 1, step 200 / 1362, train loss 70.52, time 1m 19s
rank 13, epoch 1, step 200 / 1362, train loss 46.96, time 1m 19s
rank 57, epoch 1, step 200 / 1362, train loss 75.46, time 1m 19s
rank 50, epoch 1, step 200 / 1362, train loss 55.23, time 1m 19s
rank 21, epoch 1, step 200 / 1362, train loss 84.13, time 1m 20s
rank 19, epoch 1, step 200 / 1362, train loss 63.70, time 1m 21s
rank 55, epoch 1, step 200 / 1362, train loss 82.48, time 1m 28s
rank 8, epoch 1, step 200 / 1362, train loss 66.41, time 1m 30s
rank 1, epoch 1, step 200 / 1362, train loss 79.52, time 1m 32s
rank 23, epoch 1, step 200 / 1362, train loss 88.57, time 1m 36s
rank 56, epoch 1, step 300 / 1362, train loss 48.60, time 1m 51s
rank 73, epoch 1, step 300 / 1362, train loss 82.49, time 1m 52s
rank 65, epoch 1, step 300 / 1362, train loss 39.20, time 1m 52s
rank 84, epoch 1, step 300 / 1362, train loss 53.33, time 1m 52s
rank 7, epoch 1, step 300 / 1362, train loss 62.20, time 1m 53s
rank 59, epoch 1, step 300 / 1362, train loss 75.17, time 1m 53s
rank 87, epoch 1, step 300 / 1362, train loss 90.43, time 1m 53s
rank 45, epoch 1, step 300 / 1362, train loss 64.71, time 1m 53s
rank 63, epoch 1, step 300 / 1362, train loss 85.27, time 1m 53s
rank 82, epoch 1, step 300 / 1362, train loss 81.95, time 1m 53s
rank 89, epoch 1, step 300 / 1362, train loss 80.24, time 1m 54s
rank 85, epoch 1, step 300 / 1362, train loss 76.39, time 1m 54s
rank 41, epoch 1, step 300 / 1362, train loss 70.45, time 1m 54s
rank 66, epoch 1, step 200 / 1362, train loss 84.90, time 1m 55s
rank 80, epoch 1, step 300 / 1362, train loss 48.47, time 1m 55s
rank 53, epoch 1, step 300 / 1362, train loss 62.83, time 1m 56s
rank 22, epoch 1, step 300 / 1362, train loss 72.49, time 1m 55s
rank 49, epoch 1, step 300 / 1362, train loss 64.49, time 1m 56s
rank 86, epoch 1, step 200 / 1362, train loss 67.26, time 1m 56s
rank 16, epoch 1, step 300 / 1362, train loss 67.02, time 1m 55s
rank 35, epoch 1, step 300 / 1362, train loss 65.22, time 1m 55s
rank 54, epoch 1, step 200 / 1362, train loss 67.23, time 1m 56s
rank 58, epoch 1, step 300 / 1362, train loss 88.07, time 1m 56s
rank 27, epoch 1, step 300 / 1362, train loss 52.35, time 1m 55s
rank 64, epoch 1, step 200 / 1362, train loss 51.19, time 1m 57s
rank 28, epoch 1, step 300 / 1362, train loss 66.84, time 1m 55s
rank 77, epoch 1, step 300 / 1362, train loss 63.86, time 1m 55s
rank 11, epoch 1, step 300 / 1362, train loss 76.93, time 1m 56s
rank 5, epoch 1, step 300 / 1362, train loss 48.98, time 1m 56s
rank 26, epoch 1, step 300 / 1362, train loss 74.26, time 1m 56s
rank 71, epoch 1, step 300 / 1362, train loss 79.69, time 1m 57s
rank 38, epoch 1, step 300 / 1362, train loss 65.80, time 1m 56s
rank 90, epoch 1, step 300 / 1362, train loss 76.03, time 1m 57s
rank 39, epoch 1, step 300 / 1362, train loss 86.05, time 1m 56s
rank 18, epoch 1, step 300 / 1362, train loss 71.39, time 1m 56s
rank 75, epoch 1, step 200 / 1362, train loss 70.24, time 1m 57s
rank 34, epoch 1, step 300 / 1362, train loss 72.77, time 1m 57s
rank 33, epoch 1, step 300 / 1362, train loss 67.27, time 1m 57s
rank 69, epoch 1, step 300 / 1362, train loss 75.08, time 1m 57s
rank 13, epoch 1, step 300 / 1362, train loss 87.05, time 1m 57s
rank 52, epoch 1, step 300 / 1362, train loss 88.43, time 1m 57s
rank 61, epoch 1, step 300 / 1362, train loss 60.78, time 1m 58s
rank 44, epoch 1, step 300 / 1362, train loss 88.58, time 1m 58s
rank 79, epoch 1, step 200 / 1362, train loss 85.43, time 1m 58s
rank 81, epoch 1, step 300 / 1362, train loss 56.65, time 1m 58s
rank 74, epoch 1, step 300 / 1362, train loss 69.97, time 1m 58s
rank 46, epoch 1, step 300 / 1362, train loss 65.63, time 1m 58s
rank 47, epoch 1, step 200 / 1362, train loss 73.82, time 1m 60s
rank 0, epoch 1, step 200 / 1362, train loss 64.21, time 1m 59s
rank 57, epoch 1, step 300 / 1362, train loss 67.07, time 1m 58s
rank 20, epoch 1, step 200 / 1362, train loss 83.60, time 1m 59s
rank 67, epoch 1, step 200 / 1362, train loss 55.82, time 1m 59s
rank 21, epoch 1, step 300 / 1362, train loss 56.38, time 1m 59s
rank 72, epoch 1, step 200 / 1362, train loss 46.62, time 1m 59s
