rank 39, epoch 1, step 1000 / 14900, train loss 139.95, time 15m 59s
rank 13, epoch 1, step 1000 / 14900, train loss 88.16, time 16m 2s
rank 61, epoch 1, step 1000 / 14900, train loss 215.67, time 16m 0s
rank 42, epoch 1, step 1000 / 14900, train loss 860.07, time 16m 21s
rank 89, epoch 1, step 1000 / 14900, train loss 83.22, time 16m 49s
rank 7, epoch 1, step 1000 / 14900, train loss 66.91, time 17m 1s
rank 65, epoch 1, step 1000 / 14900, train loss 97.13, time 17m 13s
rank 72, epoch 1, step 1000 / 14900, train loss 164.90, time 17m 14s
rank 83, epoch 1, step 1000 / 14900, train loss 185.80, time 17m 24s
rank 3, epoch 1, step 1000 / 14900, train loss 62.18, time 17m 26s
rank 30, epoch 1, step 2000 / 14900, train loss 62.05, time 18m 50s
rank 85, epoch 1, step 2000 / 14900, train loss 105.73, time 19m 0s
rank 95, epoch 1, step 2000 / 14900, train loss 41.60, time 19m 13s
rank 46, epoch 1, step 2000 / 14900, train loss 103.76, time 19m 30s
rank 56, epoch 1, step 2000 / 14900, train loss 68.34, time 19m 36s
rank 84, epoch 1, step 2000 / 14900, train loss 79.15, time 19m 38s
rank 62, epoch 1, step 2000 / 14900, train loss 89.39, time 19m 38s
rank 9, epoch 1, step 2000 / 14900, train loss 160.98, time 19m 41s
rank 2, epoch 1, step 2000 / 14900, train loss 62.58, time 19m 43s
rank 15, epoch 1, step 2000 / 14900, train loss 70.54, time 19m 43s
rank 90, epoch 1, step 2000 / 14900, train loss 76.93, time 19m 45s
rank 92, epoch 1, step 2000 / 14900, train loss 132.81, time 19m 43s
rank 51, epoch 1, step 2000 / 14900, train loss 81.67, time 19m 45s
rank 69, epoch 1, step 2000 / 14900, train loss 71.64, time 19m 46s
rank 33, epoch 1, step 2000 / 14900, train loss 116.02, time 19m 47s
rank 6, epoch 1, step 2000 / 14900, train loss 83.17, time 19m 48s
rank 60, epoch 1, step 2000 / 14900, train loss 143.65, time 19m 47s
rank 49, epoch 1, step 2000 / 14900, train loss 91.82, time 19m 52s
rank 55, epoch 1, step 2000 / 14900, train loss 86.87, time 19m 51s
rank 16, epoch 1, step 2000 / 14900, train loss 83.41, time 19m 51s
rank 66, epoch 1, step 2000 / 14900, train loss 81.60, time 19m 53s
rank 14, epoch 1, step 2000 / 14900, train loss 95.76, time 19m 53s
rank 43, epoch 1, step 2000 / 14900, train loss 117.17, time 19m 54s
rank 75, epoch 1, step 2000 / 14900, train loss 128.86, time 19m 56s
rank 34, epoch 1, step 2000 / 14900, train loss 86.00, time 19m 54s
rank 68, epoch 1, step 2000 / 14900, train loss 173.89, time 19m 56s
rank 94, epoch 1, step 2000 / 14900, train loss 72.45, time 19m 52s
rank 57, epoch 1, step 2000 / 14900, train loss 75.86, time 19m 58s
rank 11, epoch 1, step 2000 / 14900, train loss 138.83, time 19m 54s
